CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,68,127,17
2,Female,57,44,65
3,Male,24,142,9
4,Male,49,92,13
5,Male,65,69,100
6,Female,36,63,58
7,Male,23,48,30
8,Male,37,119,31
9,Male,44,36,23
10,Female,60,45,63
11,Male,54,149,28
12,Male,65,119,59
13,Male,24,30,10
14,Male,22,34,89
15,Female,28,57,100
16,Male,32,61,90
17,Female,20,128,26
18,Female,22,33,77
19,Female,40,62,17
20,Male,54,59,40
21,Female,26,101,68
22,Male,32,29,23
23,Female,20,124,35
24,Female,46,110,75
25,Female,23,116,76
26,Female,34,100,9
27,Female,43,95,79
28,Female,38,65,45
29,Female,25,126,37
30,Female,38,29,69
31,Male,28,79,19
32,Male,55,102,75
33,Female,25,90,73
34,Female,59,24,99
35,Female,41,56,27
36,Male,52,109,13
37,Female,31,25,57
38,Male,31,132,60
39,Male,27,139,12
40,Male,29,92,9
41,Male,55,104,92
42,Male,61,22,77
43,Female,63,125,84
44,Female,51,72,77
45,Female,58,100,27
46,Female,27,69,90
47,Female,34,136,63
48,Male,34,122,93
49,Female,20,62,29
50,Female,48,146,22
51,Male,68,143,73
52,Female,18,61,88
53,Male,29,19,19
54,Female,56,38,38
55,Male,21,32,95
56,Female,59,98,39
57,Female,30,19,15
58,Male,51,44,54
59,Male,59,15,32
60,Male,38,100,46
61,Male,39,96,61
62,Male,21,83,93
63,Male,35,45,52
64,Male,22,105,34
65,Male,36,107,73
66,Female,19,141,35
67,Female,29,30,70
68,Male,34,68,37
69,Female,27,34,78
70,Female,51,96,61
71,Female,23,123,49
72,Female,25,127,9
73,Male,68,31,19
74,Female,28,140,87
75,Male,29,17,28
76,Female,26,31,80
77,Female,19,64,26
78,Female,25,136,38
79,Male,28,104,40
80,Female,53,101,25
81,Male,27,20,99
82,Female,38,69,69
83,Male,37,116,71
84,Female,65,43,23
85,Male,25,125,89
86,Male,53,24,65
87,Female,46,105,22
88,Male,59,43,64
89,Female,29,59,68
90,Female,31,65,58
91,Female,65,115,28
92,Female,67,142,78
93,Female,38,25,97
94,Female,39,96,68
95,Female,38,142,75
96,Female,61,20,96
97,Female,67,81,4
98,Female,47,76,1
99,Female,56,147,26
100,Male,37,42,33
101,Male,41,52,81
102,Female,40,57,27
103,Female,24,131,42
104,Female,26,60,69
105,Female,18,63,71
106,Female,43,53,64
107,Female,55,85,25
108,Female,55,141,72
109,Female,61,15,98
110,Male,39,83,4
111,Female,61,44,12
112,Male,27,129,58
113,Female,23,22,95
114,Female,34,127,11
115,Male,68,33,59
116,Female,67,73,36
117,Male,55,93,22
118,Female,41,50,65
119,Female,68,69,50
120,Male,27,58,4
121,Female,25,91,100
122,Male,38,92,72
123,Female,23,115,89
124,Male,38,44,92
125,Male,56,53,52
126,Female,41,27,100
127,Female,50,136,100
128,Male,35,126,43
129,Female,45,59,46
130,Female,69,133,4
131,Female,49,49,13
132,Male,29,21,38
133,Male,65,124,45
134,Male,59,128,25
135,Male,44,65,67
136,Male,27,60,55
137,Male,63,34,96
138,Male,69,110,39
139,Male,59,52,65
140,Male,49,118,75
141,Female,59,46,2
142,Male,43,72,69
143,Female,42,96,86
144,Female,28,64,62
145,Female,40,66,46
146,Male,51,100,77
147,Male,69,129,87
148,Male,57,67,31
149,Male,40,80,99
150,Female,46,131,35
151,Male,48,57,45
152,Male,24,96,77
153,Male,57,78,54
154,Male,50,127,71
155,Male,38,149,69
156,Female,19,68,29
157,Male,35,79,72
158,Female,64,16,8
159,Male,50,146,54
160,Female,54,92,7
